Timestamp	LeftEyePosition3D.x	LeftEyePosition3D.y	LeftEyePosition3D.z	LeftEyePosition3DRelative.x	LeftEyePosition3DRelative.y	LeftEyePosition3DRelative.z	LeftGazePoint2D.x	LeftGazePoint2D.y	LeftGazePoint3D.x	LeftGazePoint3D.y	LeftGazePoint3D.z	LeftPupil	LeftValidity	RightEyePosition3D.x	RightEyePosition3D.y	RightEyePosition3D.z	RightEyePosition3DRelative.x	RightEyePosition3DRelative.y	RightEyePosition3DRelative.z	RightGazePoint2D.x	RightGazePoint2D.y	RightGazePoint3D.x	RightGazePoint3D.y	RightGazePoint3D.z	RightPupil	RightValidity	Vergence	FixationDist	EventTimeStamp	EventName	EventType	EventId	Code
0.0	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	3381.275	InputEvent	Mouse_DW	2	999
8.2	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	3497.684	InputEvent	Mouse_UP	2	999
16.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	3514.104	TrialEvent	0 START	3514.104	8
24.8	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	5648.244	InputEvent	Mouse_DW	1	1
33.7	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	6401.373	InputEvent	Mouse_UP	1	-1
42.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	6759.065	InputEvent	Mouse_DW	1	1
49.9	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	13656.346	InputEvent	Mouse_UP	1	-1
58.2	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	13657.938	InputEvent	Mouse_DW	4	4
66.5	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	18209.042	InputEvent	Mouse_UP	4	-4
75.4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	18299.485	InputEvent	Mouse_DW	1	1
83.8	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	18390.055	InputEvent	Mouse_UP	1	-1
92.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	18481.677	InputEvent	Mouse_DW	4	4
99.9	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	27451.183	InputEvent	Mouse_UP	4	-4
108.2	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	27451.395	InputEvent	Mouse_DW	1	1
116.5	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	33596.439	TrialEvent	0 END	33596.439	-8
124.8	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	34055.417	InputEvent	Mouse_UP	1	-1
133.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	34569.201	InputEvent	Mouse_DW	2	999
141.4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	34654.259	InputEvent	Mouse_UP	2	999
149.8	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	34685.582	TrialEvent	1 START	34685.582	8
158.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	35446.535	InputEvent	Mouse_DW	4	4
166.5	0.0000	0.0000	0.0000	0.7243	0.3925	0.0000	0.8423	0.6853	0.0000	0.0000	0.0000	4.4365	4	27.1720	19.6619	591.6054	0.3954	0.4054	0.4720	0.8393	0.7197	123.8274	186.2573	-14.3814	4.4004	0	5.5274	0.6035	38559.534	InputEvent	Mouse_UP	4	-4
174.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	38559.783	InputEvent	Mouse_DW	1	1
183.0	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	43034.652	InputEvent	Mouse_UP	1	-1
191.3	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	43118.129	InputEvent	Mouse_DW	4	4
199.7	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	47917.179	InputEvent	Mouse_UP	4	-4
208.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	47917.39	InputEvent	Mouse_DW	1	1
216.4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	59159.914	InputEvent	Mouse_UP	1	-1
224.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	59244.225	InputEvent	Mouse_DW	4	4
232.9	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	61788.418	InputEvent	Mouse_UP	4	-4
241.3	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	61789.182	InputEvent	Mouse_DW	1	1
249.7	-36.5080	22.1569	591.4986	0.7255	0.3925	0.4717	0.8389	0.6961	123.6974	191.8773	-11.1367	4.4001	0	26.9934	19.7082	591.4989	0.3962	0.4051	0.4717	0.8480	0.7226	127.0196	185.5682	-14.7793	4.3826	0	5.1828	0.6434	64700.913	TrialEvent	1 END	64700.913	-8
258.0	-36.5266	22.2208	592.8393	0.7250	0.3925	0.4761	0.8389	0.6961	123.6974	191.8773	-11.1367	4.4001	0	26.9685	19.7160	591.5670	0.3964	0.4051	0.4719	0.8517	0.7247	128.3580	185.0620	-15.0715	4.3745	0	5.0780	0.6564	65156.043	InputEvent	Mouse_UP	1	-1
266.3	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	65946.102	InputEvent	Mouse_DW	2	999
274.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	66052.959	InputEvent	Mouse_UP	2	999
282.9	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	66078.75	TrialEvent	2 START	66078.75	8
291.3	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	67324.418	InputEvent	Mouse_DW	1	1
299.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	68560.895	InputEvent	Mouse_UP	1	-1
308.0	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	68650.631	InputEvent	Mouse_DW	4	4
316.3	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	78077.315	InputEvent	Mouse_UP	4	-4
324.6	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	78124.607	InputEvent	Mouse_DW	1	1
333.0	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	80019.885	InputEvent	Mouse_UP	1	-1
341.3	-36.8459	22.2348	594.1746	0.7261	0.3926	0.4806	0.8448	0.6838	125.8654	194.7880	-9.4562	4.4127	0	26.8013	19.7105	591.6350	0.3973	0.4052	0.4721	0.8471	0.7210	126.6763	185.9483	-14.5598	4.3741	0	5.3742	0.6201	80110.447	InputEvent	Mouse_DW	4	4
349.7	-36.8705	22.2357	594.3240	0.7261	0.3926	0.4811	0.8465	0.6876	126.4601	193.8955	-9.9715	4.4120	0	26.7914	19.7081	591.7569	0.3974	0.4052	0.4725	0.8472	0.7211	126.7148	185.9256	-14.5729	4.3698	0	5.4163	0.6152	87029.021	InputEvent	Mouse_UP	4	-4
357.9	-36.8781	22.2308	594.4722	0.7261	0.3927	0.4816	0.8453	0.6773	126.0510	196.3505	-8.5541	4.4076	0	26.7944	19.7095	591.8854	0.3974	0.4052	0.4730	0.8489	0.7262	127.3561	184.6967	-15.2824	4.3750	0	5.3351	0.6246	87287.285	InputEvent	Mouse_DW	1	1
366.3	-36.8874	22.2289	594.4509	0.7262	0.3927	0.4815	0.8437	0.6753	125.4496	196.8293	-8.2776	4.4092	0	26.7775	19.7116	591.8588	0.3975	0.4052	0.4729	0.8499	0.7257	127.7177	184.8103	-15.2168	4.3722	0	5.2611	0.6334	91819.571	InputEvent	Mouse_UP	1	-1
374.5	-36.9748	22.2670	594.7694	0.7265	0.3926	0.4826	0.8185	0.6755	116.2612	196.7800	-8.3061	4.3972	0	26.7172	19.7413	592.1509	0.3979	0.4051	0.4738	0.8294	0.7044	120.2335	189.8925	-12.2826	4.3881	0	5.1493	0.6496	91867.901	InputEvent	Mouse_DW	4	4
382.9	-37.1372	22.3244	594.7790	0.7273	0.3923	0.4826	0.7552	0.6343	93.1614	206.5834	-2.6461	4.3976	0	26.5390	19.8022	592.0822	0.3988	0.4048	0.4736	0.7729	0.6693	99.6085	198.2397	-7.4634	4.4016	0	5.0018	0.6748	95716.299	InputEvent	Mouse_UP	4	-4
391.3	-37.3215	22.3900	594.5499	0.7284	0.3919	0.4818	0.6804	0.6040	65.8353	213.7952	1.5176	4.3907	0	26.2949	19.8695	591.8843	0.4000	0.4044	0.4729	0.7114	0.6323	77.1517	207.0560	-2.3733	4.3973	0	4.6583	0.7304	96095.603	TrialEvent	2 END	96095.603	-8
399.6	-37.4949	22.4642	594.8502	0.7291	0.3916	0.4828	0.6281	0.5884	46.7507	217.5071	3.6607	4.3783	0	26.0925	19.9439	592.1897	0.4011	0.4041	0.4740	0.6588	0.6109	57.9638	212.1579	0.5723	4.3935	0	4.6876	0.7291	-	-	-	-	-
407.9	-37.5978	22.5082	594.8912	0.7296	0.3914	0.4830	0.5931	0.5735	33.9746	221.0755	5.7209	4.3598	0	25.9443	19.9630	591.9921	0.4018	0.4039	0.4733	0.6185	0.5889	43.2431	217.3919	3.5942	4.3953	0	4.8531	0.7059	-	-	-	-	-
416.3	-37.6523	22.5380	595.0122	0.7299	0.3913	0.4834	0.5724	0.5668	26.4296	222.6721	6.6427	4.3556	0	25.8933	19.9736	592.0365	0.4021	0.4039	0.4735	0.5945	0.5866	34.4872	217.9432	3.9125	4.3963	0	4.9544	0.6922	-	-	-	-	-
424.5	-37.6706	22.5473	595.1899	0.7299	0.3912	0.4840	0.5682	0.5648	24.9024	223.1355	6.9103	4.3521	0	25.8986	19.9773	592.2181	0.4021	0.4039	0.4741	0.5816	0.5865	29.7923	217.9721	3.9291	4.3873	0	5.2075	0.6587	-	-	-	-	-
432.9	-37.6722	22.5377	595.1243	0.7299	0.3913	0.4837	0.5657	0.5669	23.9752	222.6445	6.6268	4.3580	0	25.8985	19.9661	592.0944	0.4021	0.4039	0.4736	0.5796	0.5839	29.0550	218.5795	4.2799	4.3845	0	5.1929	0.6607	-	-	-	-	-
441.1	-37.6772	22.5177	595.1421	0.7299	0.3914	0.4838	0.5671	0.5625	24.5036	223.6978	7.2349	4.3601	0	25.9022	19.9611	592.1311	0.4021	0.4040	0.4738	0.5811	0.5907	29.5929	216.9684	3.3497	4.3747	0	5.1919	0.6608	-	-	-	-	-
449.6	-37.6841	22.5074	595.0861	0.7300	0.3914	0.4836	0.5730	0.5660	26.6527	222.8475	6.7440	4.3544	0	25.9042	19.9551	592.1293	0.4021	0.4040	0.4738	0.5810	0.5915	29.5530	216.7769	3.2391	4.3625	0	5.3650	0.6393	-	-	-	-	-
457.8	-37.6837	22.4960	594.9885	0.7300	0.3915	0.4833	0.5715	0.5668	26.0875	222.6693	6.6411	4.3437	0	25.9088	19.9497	592.1214	0.4020	0.4040	0.4737	0.5782	0.5929	28.5491	216.4461	3.0481	4.3706	0	5.4003	0.6352	-	-	-	-	-
466.2	-37.6758	22.4872	594.9365	0.7300	0.3915	0.4831	0.5740	0.5675	27.0200	222.4916	6.5385	4.3396	0	25.9173	19.9380	592.1195	0.4020	0.4041	0.4737	0.5796	0.5955	29.0502	215.8285	2.6916	4.3583	0	5.4341	0.6312	-	-	-	-	-
474.5	-37.6715	22.4859	594.9345	0.7300	0.3915	0.4831	0.5735	0.5747	26.8094	220.7796	5.5500	4.3289	0	25.9258	19.9351	592.1435	0.4020	0.4041	0.4738	0.5855	0.5920	31.1909	216.6577	3.1703	4.3416	0	5.2469	0.6537	-	-	-	-	-
482.9	-37.6603	22.4872	594.9753	0.7299	0.3915	0.4833	0.5682	0.5797	24.8930	219.5811	4.8581	4.3154	0	25.9306	19.9298	592.1476	0.4019	0.4041	0.4738	0.5888	0.5881	32.4142	217.5883	3.7076	4.3356	0	4.9980	0.6863	-	-	-	-	-
491.1	-37.6546	22.4928	595.0704	0.7298	0.3915	0.4836	0.5710	0.5713	25.9078	221.5921	6.0192	4.3021	0	25.9351	19.9266	592.1397	0.4019	0.4042	0.4738	0.5852	0.5907	31.1107	216.9673	3.3490	4.3105	0	5.1821	0.6619	-	-	-	-	-
499.5	-37.6530	22.4964	595.1189	0.7298	0.3915	0.4837	0.5712	0.5629	25.9991	223.5990	7.1778	4.2818	0	25.9429	19.9272	592.1492	0.4019	0.4041	0.4738	0.5827	0.5935	30.1683	216.3098	2.9694	4.2855	0	5.2643	0.6516	-	-	-	-	-
507.7	-37.6468	22.4969	595.1284	0.7298	0.3915	0.4838	0.5699	0.5685	25.5299	222.2681	6.4095	4.2605	0	25.9509	19.9269	592.1688	0.4018	0.4042	0.4739	0.5857	0.5998	31.2879	214.8015	2.0986	4.2756	0	5.1381	0.6676	-	-	-	-	-
516.2	-37.6420	22.4987	595.1258	0.7298	0.3915	0.4838	0.5692	0.5736	25.2752	221.0424	5.7018	4.2386	0	25.9601	19.9247	592.1920	0.4018	0.4042	0.4740	0.5879	0.6036	32.0951	213.8933	1.5743	4.2531	0	5.0536	0.6787	-	-	-	-	-
524.5	-37.6288	22.4979	595.0801	0.7297	0.3915	0.4836	0.5662	0.5735	24.1745	221.0664	5.7157	4.2342	0	25.9748	19.9243	592.1780	0.4017	0.4042	0.4739	0.5891	0.6030	32.5271	214.0446	1.6616	4.2210	0	4.9322	0.6955	-	-	-	-	-
532.8	-37.6168	22.4964	594.9916	0.7297	0.3915	0.4833	0.5674	0.5757	24.6176	220.5396	5.4115	4.2073	0	25.9928	19.9261	592.1566	0.4016	0.4042	0.4739	0.5884	0.6067	32.2581	213.1536	1.1472	4.1992	0	4.9887	0.6876	-	-	-	-	-
541.1	-37.6184	22.4984	594.9566	0.7297	0.3914	0.4832	0.5682	0.5736	24.8951	221.0441	5.7028	4.1754	0	26.0084	19.9320	592.1863	0.4015	0.4041	0.4740	0.5866	0.6070	31.6153	213.0813	1.1055	4.1829	0	5.0618	0.6777	-	-	-	-	-
549.5	-37.6223	22.5058	594.9680	0.7297	0.3914	0.4832	0.5656	0.5707	23.9279	221.7430	6.1063	4.1517	0	26.0244	19.9427	592.2247	0.4015	0.4041	0.4741	0.5865	0.6020	31.5881	214.2900	1.8033	4.1522	0	4.9874	0.6878	-	-	-	-	-
557.7	-37.6810	22.5451	595.2148	0.7299	0.3913	0.4840	0.5590	0.5772	21.5438	220.1920	5.2108	4.1272	0	26.0247	19.9801	592.3853	0.4015	0.4039	0.4746	0.5829	0.6021	30.2581	214.2568	1.7841	4.1013	0	4.9047	0.6996	-	-	-	-	-
566.2	-37.7815	22.5960	595.3422	0.7304	0.3910	0.4845	0.5253	0.5756	9.2356	220.5744	5.4316	4.1010	0	25.9588	20.0183	592.3034	0.4018	0.4037	0.4743	0.5539	0.5847	19.6792	218.3897	4.1703	4.0737	0	4.7717	0.7197	-	-	-	-	-
574.3	-37.8658	22.6379	595.2150	0.7309	0.3908	0.4841	0.4852	0.5654	-5.3939	223.0002	6.8322	4.0696	0	25.8531	20.0602	592.2107	0.4024	0.4035	0.4740	0.5215	0.5712	7.8573	221.6105	6.0298	4.0529	0	4.5503	0.7551	-	-	-	-	-
582.8	-37.9392	22.6856	595.3094	0.7312	0.3906	0.4844	0.4637	0.5514	-13.2384	226.3182	8.7478	4.0433	0	25.7847	20.1223	592.4850	0.4028	0.4032	0.4750	0.5026	0.5690	0.9646	222.1303	6.3299	4.0202	0	4.4744	0.7679	-	-	-	-	-
591.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	-	-	-	-	-
599.4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	-	-	-	-	-
607.8	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	-	-	-	-	-
616.1	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	0.0000	0.0000	0.0000	-1.0000	-1.0000	0.0000	-1.0000	-1.0000	0.0000	0.0000	0.0000	-1.0000	4	3.5522	0.6130	-	-	-	-	-
624.3	-37.9625	22.7352	595.4078	0.7313	0.3903	0.4847	0.4391	0.5606	-22.2326	224.1442	7.4926	3.9584	0	25.7413	20.1221	592.6260	0.4031	0.4032	0.4754	0.4592	0.5777	-14.8786	220.0594	5.1343	3.9474	0	5.0159	0.6845	-	-	-	-	-
632.8	-37.9310	22.7132	595.2103	0.7312	0.3904	0.4840	0.4450	0.5694	-20.0657	222.0377	6.2764	3.9506	0	25.7638	20.0809	592.2852	0.4028	0.4034	0.4743	0.4557	0.5771	-16.1842	220.2173	5.2254	3.9061	0	5.2918	0.6488	-	-	-	-	-
641.0	-37.9166	22.6924	594.9910	0.7312	0.3905	0.4833	0.4544	0.5787	-16.6412	219.8336	5.0039	3.9451	0	25.7431	20.0602	591.9836	0.4029	0.4035	0.4733	0.4583	0.5815	-15.2332	219.1697	4.6206	3.8738	0	5.4890	0.6255	-	-	-	-	-
649.4	-37.9040	22.6834	594.9406	0.7312	0.3905	0.4831	0.4621	0.5792	-13.8218	219.6999	4.9267	3.9217	0	25.7549	20.0545	592.0407	0.4028	0.4035	0.4735	0.4571	0.5842	-15.6611	218.5291	4.2507	3.8654	0	5.7473	0.5974	-	-	-	-	-
657.7	-37.8823	22.6634	594.8468	0.7311	0.3906	0.4828	0.4592	0.5631	-14.8807	223.5472	7.1479	3.8867	0	25.7696	20.0515	592.0573	0.4028	0.4035	0.4735	0.4605	0.5838	-14.4042	218.6228	4.3048	3.8319	0	5.5634	0.6172	-	-	-	-	-
666.0	-37.8553	22.6581	594.7656	0.7310	0.3906	0.4826	0.4585	0.5641	-15.1344	223.3095	7.0107	3.8677	0	25.7797	20.0458	592.0424	0.4027	0.4035	0.4735	0.4643	0.5855	-13.0145	218.1991	4.0602	3.8103	0	5.4331	0.6320	-	-	-	-	-
674.3	-37.8381	22.6706	594.7508	0.7309	0.3905	0.4825	0.4631	0.5800	-13.4635	219.5298	4.8285	3.8631	0	25.7961	20.0443	591.9666	0.4026	0.4035	0.4732	0.4638	0.5953	-13.2171	215.8841	2.7236	3.8039	0	5.5821	0.6152	-	-	-	-	-
682.8	-37.8142	22.6778	594.8133	0.7308	0.3905	0.4827	0.4563	0.5802	-15.9328	219.4690	4.7934	3.8565	0	25.8202	20.0411	591.9012	0.4024	0.4035	0.4730	0.4586	0.6006	-15.1220	214.6094	1.9877	3.8042	0	5.5366	0.6201	-	-	-	-	-
690.9	-37.7968	22.6871	594.9330	0.7306	0.3905	0.4831	0.4552	0.5771	-16.3389	220.2164	5.2249	3.8565	0	25.8510	20.0373	591.8321	0.4023	0.4035	0.4728	0.4508	0.6006	-17.9428	214.6074	1.9866	3.8055	0	5.7278	0.5993	-	-	-	-	-
